time_seconds,channel_1,channel_2,channel_3
3.711,279343,-150771,-430114
3.716,279155,-151133,-430288
3.721,279057,-151426,-430483
3.726,279207,-151111,-430318
3.731,279265,-150884,-430149
3.736,279232,-151292,-430524
3.741,279443,-151530,-430973
3.746,279997,-150531,-430528
3.751,280364,-148911,-429275
3.756,280130,-147415,-427545
3.761,279197,-145190,-424387
3.766,278088,-142171,-420259
3.771,276721,-140733,-417454
3.776,275231,-142748,-417979
3.781,274240,-145981,-420221
3.786,273887,-148526,-422413
3.791,274622,-150252,-424874
3.796,276122,-151170,-427292
3.801,277378,-151491,-428869
3.806,278364,-151160,-429524
3.811,278988,-150853,-429841
3.816,279167,-151150,-430317
3.821,279286,-151436,-430722
3.826,279506,-151154,-430660
3.831,279615,-150887,-430502
3.836,279497,-151226,-430723
3.841,279480,-151480,-430960
3.846,279706,-151066,-430772
3.851,279856,-150719,-430575
3.856,279731,-151062,-430793
3.861,279674,-151360,-431034
3.866,279881,-151007,-430888
3.871,279990,-150699,-430689
3.876,279829,-151045,-430874
3.881,279763,-151326,-431089
3.886,279966,-150945,-430911
3.891,280120,-150596,-430716
3.896,280034,-150844,-430878
3.901,280020,-151042,-431062
3.906,280278,-150617,-430895
3.911,280445,-150233,-430678
3.916,280399,-150469,-430868
3.921,280428,-150689,-431117
3.926,280705,-150270,-430975
3.931,280897,-149880,-430777
3.936,280841,-150138,-430979
3.941,280876,-150394,-431270
3.946,281190,-149989,-431179
3.951,281423,-149578,-431001
3.956,281380,-149839,-431219
3.961,281444,-150024,-431468
3.966,281781,-149514,-431295
3.971,282023,-149063,-431086
3.976,281998,-149274,-431272
3.981,282005,-149448,-431453
3.986,282231,-149002,-431233
3.991,282370,-148574,-430944
3.996,282198,-148818,-431016
4.001,282067,-149102,-431169
4.006,282151,-148779,-430930
4.011,282138,-148481,-430619
4.016,281849,-148880,-430729
4.021,281630,-149299,-430929
4.026,281623,-149059,-430682
4.031,281485,-148892,-430377
4.036,281079,-149458,-430537
4.041,280778,-149963,-430741
4.048,280713,-149795,-430508
4.048,280713,-149795,-430508
4.054,280529,-149692,-430221
4.054,280529,-149692,-430221
4.058,280154,-150220,-430374
4.059,280154,-150220,-430374
4.061,279896,-150665,-430561
4.067,279905,-150448,-430353
4.071,279856,-150253,-430109
4.076,279607,-150680,-430287
4.081,279425,-151118,-430543
4.086,279522,-150842,-430364
4.091,279584,-150528,-430112
4.096,279423,-150855,-430278
4.101,279308,-151204,-430512
4.106,279458,-150910,-430368
4.111,279547,-150610,-430157
4.117,279330,-150972,-430302
4.121,279266,-151259,-430525
4.126,279466,-150895,-430361
4.131,279557,-150555,-430112
4.136,279403,-150873,-430276
4.141,279333,-151162,-430495
4.146,279545,-150771,-430316
4.151,279636,-150443,-430079
4.156,279442,-150769,-430211
4.161,279385,-151036,-430421
4.166,279593,-150664,-430257
4.171,279689,-150343,-430032
4.176,279510,-150691,-430201
4.181,279418,-150997,-430415
4.186,279584,-150691,-430275
4.191,279650,-150434,-430084
4.196,279413,-150803,-430216
4.201,279303,-151116,-430419
4.206,279478,-150767,-430245
4.211,279594,-150417,-430011
4.216,279425,-150760,-430185
4.221,279304,-151117,-430421
4.226,279478,-150785,-430263
4.231,279554,-150484,-430038
4.236,279371,-150810,-430181
4.241,279330,-151090,-430420
4.246,279527,-150735,-430262
4.251,279602,-150430,-430032
4.256,279389,-150809,-430198
4.263,279230,-151195,-430425
4.264,279230,-151195,-430425
4.266,279384,-150871,-430255
4.271,279506,-150501,-430007
4.276,279331,-150808,-430139
4.281,279206,-151175,-430381
4.286,279341,-150883,-430224
4.291,279440,-150538,-429978
4.296,279295,-150875,-430170
4.301,279243,-151182,-430425
4.306,279480,-150786,-430266
4.311,279588,-150422,-430010
4.316,279403,-150770,-430173
4.321,279325,-151103,-430428
4.326,279466,-150798,-430264
4.331,279522,-150532,-430054
4.336,279375,-150866,-430241
4.341,279289,-151154,-430443
4.346,279436,-150825,-430261
4.351,279524,-150509,-430033
4.356,279367,-150841,-430208
4.361,279263,-151138,-430401
4.366,279396,-150839,-430235
4.371,279498,-150518,-430016
4.376,279346,-150832,-430178
4.383,279262,-151132,-430394
4.384,279262,-151132,-430394
4.386,279454,-150794,-430248
4.391,279553,-150485,-430038
4.396,279386,-150818,-430204
